domain,model,mean_score,median_score,count,rank
Accounting and common-control recast mechanics,Mimo 2.5 Pro,0.7447333333333334,0.7368,9,1
Accounting and common-control recast mechanics,Kimi K2.6,0.6653333333333333,0.6899,9,2
Accounting and common-control recast mechanics,GLM 5.1,0.6433333333333333,0.6667,9,3
Accounting and common-control recast mechanics,Nemotron 3 Ultra,0.4596777777777778,0.5506,9,4
Accounting and common-control recast mechanics,Qwen 3.7 Max,0.0,0.0,9,5
Capital intensity and funding,GLM 5.1,0.7887299999999999,0.7621,10,1
Capital intensity and funding,Mimo 2.5 Pro,0.78539,0.74265,10,2
Capital intensity and funding,Kimi K2.6,0.74054,0.7351000000000001,10,3
Capital intensity and funding,Nemotron 3 Ultra,0.5038199999999999,0.63685,10,4
Capital intensity and funding,Qwen 3.7 Max,0.1,0.0,10,5
Execution and program risk,Mimo 2.5 Pro,0.8884857142857143,0.9035,7,1
Execution and program risk,GLM 5.1,0.8151571428571429,0.7955,7,2
Execution and program risk,Kimi K2.6,0.7495571428571429,0.7555,7,3
Execution and program risk,Nemotron 3 Ultra,0.36065714285714284,0.4781,7,4
Execution and program risk,Qwen 3.7 Max,0.13627142857142857,0.0,7,5
Governance and control structures,GLM 5.1,0.8224666666666667,0.8776,3,1
Governance and control structures,Mimo 2.5 Pro,0.7319999999999999,0.7529,3,2
Governance and control structures,Kimi K2.6,0.5563333333333333,0.6941,3,3
Governance and control structures,Nemotron 3 Ultra,0.42896666666666666,0.3868,3,4
Governance and control structures,Qwen 3.7 Max,0.0,0.0,3,5
KPI quality and monetization,GLM 5.1,0.7765666666666666,0.8286,9,1
KPI quality and monetization,Mimo 2.5 Pro,0.757,0.7602,9,2
KPI quality and monetization,Kimi K2.6,0.7196222222222222,0.7561,9,3
KPI quality and monetization,Nemotron 3 Ultra,0.5779333333333333,0.5714,9,4
KPI quality and monetization,Qwen 3.7 Max,0.0,0.0,9,5
Segment economics and operating performance,GLM 5.1,0.7746125,0.8452,8,1
Segment economics and operating performance,Mimo 2.5 Pro,0.7685875,0.7746,8,2
Segment economics and operating performance,Kimi K2.6,0.6978,0.6698,8,3
Segment economics and operating performance,Nemotron 3 Ultra,0.6901,0.7389,8,4
Segment economics and operating performance,Qwen 3.7 Max,0.06985,0.0,8,5
Valuation and underwriting analysis,GLM 5.1,0.7674,0.782,9,1
Valuation and underwriting analysis,Mimo 2.5 Pro,0.6980777777777778,0.72,9,2
Valuation and underwriting analysis,Kimi K2.6,0.5446666666666666,0.7027,9,3
Valuation and underwriting analysis,Nemotron 3 Ultra,0.2953111111111111,0.1616,9,4
Valuation and underwriting analysis,Qwen 3.7 Max,0.10582222222222222,0.0,9,5
