domain,model,mean_score,median_score,count
Accounting and common-control recast mechanics,GLM 5.1,0.6433333333333333,0.6667,9
Accounting and common-control recast mechanics,Kimi K2.6,0.6653333333333333,0.6899,9
Accounting and common-control recast mechanics,Mimo 2.5 Pro,0.7447333333333334,0.7368,9
Accounting and common-control recast mechanics,Nemotron 3 Ultra,0.4596777777777778,0.5506,9
Accounting and common-control recast mechanics,Qwen 3.7 Max,0.0,0.0,9
Capital intensity and funding,GLM 5.1,0.7887299999999999,0.7621,10
Capital intensity and funding,Kimi K2.6,0.74054,0.7351000000000001,10
Capital intensity and funding,Mimo 2.5 Pro,0.78539,0.74265,10
Capital intensity and funding,Nemotron 3 Ultra,0.5038199999999999,0.63685,10
Capital intensity and funding,Qwen 3.7 Max,0.1,0.0,10
Execution and program risk,GLM 5.1,0.8151571428571429,0.7955,7
Execution and program risk,Kimi K2.6,0.7495571428571429,0.7555,7
Execution and program risk,Mimo 2.5 Pro,0.8884857142857143,0.9035,7
Execution and program risk,Nemotron 3 Ultra,0.36065714285714284,0.4781,7
Execution and program risk,Qwen 3.7 Max,0.13627142857142857,0.0,7
Governance and control structures,GLM 5.1,0.8224666666666667,0.8776,3
Governance and control structures,Kimi K2.6,0.5563333333333333,0.6941,3
Governance and control structures,Mimo 2.5 Pro,0.7319999999999999,0.7529,3
Governance and control structures,Nemotron 3 Ultra,0.42896666666666666,0.3868,3
Governance and control structures,Qwen 3.7 Max,0.0,0.0,3
KPI quality and monetization,GLM 5.1,0.7765666666666666,0.8286,9
KPI quality and monetization,Kimi K2.6,0.7196222222222222,0.7561,9
KPI quality and monetization,Mimo 2.5 Pro,0.757,0.7602,9
KPI quality and monetization,Nemotron 3 Ultra,0.5779333333333333,0.5714,9
KPI quality and monetization,Qwen 3.7 Max,0.0,0.0,9
Segment economics and operating performance,GLM 5.1,0.7746125,0.8452,8
Segment economics and operating performance,Kimi K2.6,0.6978,0.6698,8
Segment economics and operating performance,Mimo 2.5 Pro,0.7685875,0.7746,8
Segment economics and operating performance,Nemotron 3 Ultra,0.6901,0.7389,8
Segment economics and operating performance,Qwen 3.7 Max,0.06985,0.0,8
Valuation and underwriting analysis,GLM 5.1,0.7674,0.782,9
Valuation and underwriting analysis,Kimi K2.6,0.5446666666666666,0.7027,9
Valuation and underwriting analysis,Mimo 2.5 Pro,0.6980777777777778,0.72,9
Valuation and underwriting analysis,Nemotron 3 Ultra,0.2953111111111111,0.1616,9
Valuation and underwriting analysis,Qwen 3.7 Max,0.10582222222222222,0.0,9
