domain,model,mean_score,median_score,count,rank_within_domain
Accounting and common-control recast mechanics,GLM 5.1,0.6665,0.67545,10,4.0
Accounting and common-control recast mechanics,GLM 5.2,0.72614,0.7164999999999999,10,3.0
Accounting and common-control recast mechanics,Kimi K2.6,0.66052,0.65365,10,5.0
Accounting and common-control recast mechanics,Mimo 2.5 Pro,0.75698,0.7597,10,2.0
Accounting and common-control recast mechanics,Nemotron 3 Ultra,0.41371,0.48829999999999996,10,6.0
Accounting and common-control recast mechanics,Qwen 3.7 Max,0.7860199999999999,0.85955,10,1.0
Capital intensity and funding,GLM 5.1,0.8039083333333333,0.7935,12,2.0
Capital intensity and funding,GLM 5.2,0.7246,0.6716,12,5.0
Capital intensity and funding,Kimi K2.6,0.7427,0.7351000000000001,12,4.0
Capital intensity and funding,Mimo 2.5 Pro,0.7805166666666666,0.74265,12,3.0
Capital intensity and funding,Nemotron 3 Ultra,0.4337416666666667,0.5578000000000001,12,6.0
Capital intensity and funding,Qwen 3.7 Max,0.8221666666666666,0.83205,12,1.0
Execution and program risk,GLM 5.1,0.796975,0.7925,8,2.0
Execution and program risk,GLM 5.2,0.71515,0.73275,8,5.0
Execution and program risk,Kimi K2.6,0.740725,0.737,8,4.0
Execution and program risk,Mimo 2.5 Pro,0.8508249999999999,0.88725,8,1.0
Execution and program risk,Nemotron 3 Ultra,0.315575,0.23905,8,6.0
Execution and program risk,Qwen 3.7 Max,0.7935125,0.7976,8,3.0
Governance and control structures,GLM 5.1,0.81745,0.8400000000000001,4,2.0
Governance and control structures,GLM 5.2,0.709425,0.7074499999999999,4,4.0
Governance and control structures,Kimi K2.6,0.580425,0.6734,4,5.0
Governance and control structures,Mimo 2.5 Pro,0.7525999999999999,0.78365,4,3.0
Governance and control structures,Nemotron 3 Ultra,0.46244999999999997,0.47485,4,6.0
Governance and control structures,Qwen 3.7 Max,0.819075,0.81675,4,1.0
KPI quality and monetization,GLM 5.1,0.7655333333333333,0.8029999999999999,12,2.0
KPI quality and monetization,GLM 5.2,0.7416999999999999,0.7739,12,4.0
KPI quality and monetization,Kimi K2.6,0.7302583333333333,0.7576499999999999,12,5.0
KPI quality and monetization,Mimo 2.5 Pro,0.7437916666666666,0.75255,12,3.0
KPI quality and monetization,Nemotron 3 Ultra,0.5449,0.55655,12,6.0
KPI quality and monetization,Qwen 3.7 Max,0.8028666666666666,0.8296,12,1.0
Segment economics and operating performance,GLM 5.1,0.7961,0.8528,10,2.0
Segment economics and operating performance,GLM 5.2,0.74267,0.77855,10,4.0
Segment economics and operating performance,Kimi K2.6,0.67058,0.6452,10,5.0
Segment economics and operating performance,Mimo 2.5 Pro,0.78349,0.7889,10,3.0
Segment economics and operating performance,Nemotron 3 Ultra,0.60338,0.67855,10,6.0
Segment economics and operating performance,Qwen 3.7 Max,0.80651,0.8333,10,1.0
Valuation and underwriting analysis,GLM 5.1,0.7989214285714287,0.80745,14,1.0
Valuation and underwriting analysis,GLM 5.2,0.6651928571428571,0.6835,14,4.0
Valuation and underwriting analysis,Kimi K2.6,0.5565928571428571,0.6213500000000001,14,5.0
Valuation and underwriting analysis,Mimo 2.5 Pro,0.7293428571428572,0.76295,14,3.0
Valuation and underwriting analysis,Nemotron 3 Ultra,0.3163142857142857,0.3275,14,6.0
Valuation and underwriting analysis,Qwen 3.7 Max,0.7506285714285715,0.749,14,2.0
