workflow,model,mean_score,median_score,count,rank_within_workflow
Accounting and transaction advisory,GLM 5.1,0.73676875,0.7402,16,4.0
Accounting and transaction advisory,GLM 5.2,0.75015,0.7802,16,3.0
Accounting and transaction advisory,Kimi K2.6,0.6939375,0.6928,16,5.0
Accounting and transaction advisory,Mimo 2.5 Pro,0.7813625,0.7769999999999999,16,2.0
Accounting and transaction advisory,Nemotron 3 Ultra,0.44486875000000003,0.5318,16,6.0
Accounting and transaction advisory,Qwen 3.7 Max,0.78543125,0.83335,16,1.0
Credit analysis,GLM 5.1,0.7706083333333332,0.7762,12,2.0
Credit analysis,GLM 5.2,0.6771583333333333,0.6827,12,4.0
Credit analysis,Kimi K2.6,0.6459666666666667,0.6499999999999999,12,5.0
Credit analysis,Mimo 2.5 Pro,0.755,0.7157,12,3.0
Credit analysis,Nemotron 3 Ultra,0.36045,0.3501,12,6.0
Credit analysis,Qwen 3.7 Max,0.7984416666666667,0.8243,12,1.0
Investment banking / ECM,GLM 5.1,0.78474,0.782,5,1.0
Investment banking / ECM,GLM 5.2,0.72112,0.6765,5,4.0
Investment banking / ECM,Kimi K2.6,0.59896,0.7474,5,5.0
Investment banking / ECM,Mimo 2.5 Pro,0.75778,0.7353,5,2.0
Investment banking / ECM,Nemotron 3 Ultra,0.43701999999999996,0.6765,5,6.0
Investment banking / ECM,Qwen 3.7 Max,0.7519199999999999,0.7353,5,3.0
Public-market investing,GLM 5.1,0.7861315789473684,0.8254,19,1.0
Public-market investing,GLM 5.2,0.6940947368421052,0.75,19,4.0
Public-market investing,Kimi K2.6,0.6480210526315789,0.6621,19,5.0
Public-market investing,Mimo 2.5 Pro,0.7705736842105263,0.7759,19,3.0
Public-market investing,Nemotron 3 Ultra,0.44036842105263163,0.5172,19,6.0
Public-market investing,Qwen 3.7 Max,0.7814368421052632,0.8254,19,2.0
Securities counsel,GLM 5.1,0.8078333333333333,0.8303499999999999,6,2.0
Securities counsel,GLM 5.2,0.7421333333333333,0.7355,6,4.0
Securities counsel,Kimi K2.6,0.64115,0.6734,6,5.0
Securities counsel,Mimo 2.5 Pro,0.7794500000000001,0.8048500000000001,6,3.0
Securities counsel,Nemotron 3 Ultra,0.5309166666666666,0.58065,6,6.0
Securities counsel,Qwen 3.7 Max,0.8638333333333333,0.88925,6,1.0
Venture and growth investing,GLM 5.1,0.7955833333333334,0.80995,12,2.0
Venture and growth investing,GLM 5.2,0.7317333333333332,0.7516,12,5.0
Venture and growth investing,Kimi K2.6,0.7514666666666666,0.75735,12,4.0
Venture and growth investing,Mimo 2.5 Pro,0.7546583333333333,0.7741,12,3.0
Venture and growth investing,Nemotron 3 Ultra,0.46137500000000004,0.5397,12,6.0
Venture and growth investing,Qwen 3.7 Max,0.8017333333333333,0.8137,12,1.0
