workflow,model,mean_score,median_score,count,rank
Accounting and transaction advisory,Mimo 2.5 Pro,0.7796615384615385,0.7714,13,1
Accounting and transaction advisory,Kimi K2.6,0.7040692307692307,0.6957,13,2
Accounting and transaction advisory,GLM 5.1,0.6992999999999999,0.6889,13,3
Accounting and transaction advisory,Nemotron 3 Ultra,0.48140000000000005,0.5736,13,4
Accounting and transaction advisory,Qwen 3.7 Max,0.0,0.0,13,5
Credit analysis,Mimo 2.5 Pro,0.75902,0.7157,10,1
Credit analysis,GLM 5.1,0.7571,0.7526,10,2
Credit analysis,Kimi K2.6,0.64677,0.6547000000000001,10,3
Credit analysis,Nemotron 3 Ultra,0.41586999999999996,0.4434,10,4
Credit analysis,Qwen 3.7 Max,0.15588,0.0,10,5
Investment banking / ECM,GLM 5.1,0.78474,0.782,5,1
Investment banking / ECM,Mimo 2.5 Pro,0.75778,0.7353,5,2
Investment banking / ECM,Kimi K2.6,0.59896,0.7474,5,3
Investment banking / ECM,Nemotron 3 Ultra,0.43701999999999996,0.6765,5,4
Investment banking / ECM,Qwen 3.7 Max,0.0,0.0,5,5
Public-market investing,GLM 5.1,0.7869066666666666,0.8254,15,1
Public-market investing,Mimo 2.5 Pro,0.75818,0.7647,15,2
Public-market investing,Kimi K2.6,0.6703600000000001,0.6825,15,3
Public-market investing,Nemotron 3 Ultra,0.46789333333333333,0.559,15,4
Public-market investing,Qwen 3.7 Max,0.06349333333333333,0.0,15,5
Securities counsel,GLM 5.1,0.796575,0.79825,4,1
Securities counsel,Mimo 2.5 Pro,0.76675,0.8009999999999999,4,2
Securities counsel,Kimi K2.6,0.64305,0.7763,4,3
Securities counsel,Nemotron 3 Ultra,0.50605,0.54045,4,4
Securities counsel,Qwen 3.7 Max,0.238475,0.0,4,5
Venture and growth investing,GLM 5.1,0.7959875,0.8170999999999999,8,1
Venture and growth investing,Mimo 2.5 Pro,0.7827375,0.8236,8,2
Venture and growth investing,Kimi K2.6,0.7534125,0.75735,8,3
Venture and growth investing,Nemotron 3 Ultra,0.590275,0.5729,8,4
Venture and growth investing,Qwen 3.7 Max,0.0,0.0,8,5
